省份,站号,站名,纬度,经度,海拔
西藏,55299,那曲,31.29,92.04,4507.00
西藏,55437,普兰,30.17,81.15,13900.00
西藏,55472,申扎,30.57,88.38,14672.00
西藏,55493,当雄,30.29,91.06,14200.00
西藏,55569,拉孜,29.05,87.36,14000.00
西藏,55578,日喀则,29.15,88.53,3836.00
西藏,55585,尼木,29.26,90.10,13809.40
西藏,55591,拉萨,29.40,91.08,3648.90
西藏,55598,泽当,29.16,91.46,3560.00
西藏,55655,聂拉木,28.11,85.58,13810.00
西藏,55664,定日,28.38,87.05,14300.00
西藏,55680,江孜,28.55,89.36,14040.00
西藏,55681,浪卡子,28.58,90.24,14431.70
西藏,55690,错那,27.59,91.57,14280.00
西藏,55696,隆子,28.25,92.28,13860.00
西藏,55773,帕里,27.44,89.05,14300.00
西藏,56106,索县,31.53,93.47,4022.80
西藏,56116,丁青,31.25,95.36,3873.10
西藏,56137,昌都,31.09,97.10,3315.00
西藏,56202,嘉黎,30.40,93.17,14488.80
西藏,56223,洛隆,30.45,95.50,13640.00
西藏,56227,波密,29.52,95.46,12736.00
西藏,56312,林芝,29.40,94.20,2991.80
西藏,56331,左贡,29.40,97.50,13780.00
西藏,56434,察隅,28.39,97.28,2327.60
新疆,51053,哈巴河,48.03,86.24,532.60
新疆,51059,吉木乃,47.27,85.53,968.20
新疆,51060,布尔津,47.42,86.52,473.90
新疆,51068,福海,47.07,87.29,497.00
新疆,51076,阿勒泰,47.44,88.05,735.30
新疆,51087,富蕴,46.59,89.31,807.50
新疆,51133,塔城,46.44,83.00,534.90
新疆,51156,和布克赛尔,46.49,85.45,1322.10
新疆,51186,青河,46.40,90.23,1218.20
新疆,51232,阿拉山口,45.11,82.34,336.10
新疆,51238,博乐,44.54,82.04,532.20
新疆,51241,托里,45.56,83.36,1094.20
新疆,51243,克拉玛依,45.37,84.51,450.30
新疆,51288,北塔山,45.22,90.32,1653.70
新疆,51330,温泉,44.58,81.01,1357.80
新疆,51334,精河,44.34,82.49,329.20
新疆,51346,乌苏,44.26,84.40,478.70
新疆,51358,乌兰乌苏,44.17,85.49,468.50
新疆,51365,蔡家湖,44.12,87.32,440.50
新疆,51367,呼图壁,44.10,86.51,575.10
新疆,51379,奇台,44.01,89.34,793.50
新疆,51431,伊宁,43.57,81.20,662.50
新疆,51433,尼勒克,43.48,82.31,1105.30
新疆,51437,昭苏,43.09,81.08,1851.00
新疆,51463,乌鲁木齐,43.47,87.39,935.00
新疆,51467,巴仑台,42.46,86.20,1732.40
新疆,51469,乌鲁木齐牧试站,43.27,87.11,1930.00
新疆,51470,天池,43.53,88.07,1942.50
新疆,51477,达坂城,43.21,88.19,1103.50
新疆,51495,十三间房,43.13,91.44,721.40
新疆,51526,库米什,42.14,88.13,922.40
新疆,51542,巴音布鲁克,43.02,84.09,2458.00
新疆,51567,焉耆,42.05,86.34,1055.30
新疆,51573,吐鲁番,42.57,89.14,39.30
新疆,51581,鄯善,42.51,90.14,398.60
新疆,51628,阿克苏,41.07,80.23,1107.10
新疆,51633,拜城,41.47,81.54,1229.20
新疆,51639,沙雅,41.14,82.47,980.40
新疆,51642,轮台,41.49,84.16,982.00
新疆,51644,库车,41.43,82.58,1081.90
新疆,51655,尉犁,41.21,86.16,884.90
新疆,51656,库尔勒,41.44,85.49,899.80
新疆,51701,吐尔尕特,40.31,75.24,3504.40
新疆,51704,阿图什,39.43,76.10,1298.70
新疆,51705,乌恰,39.43,75.15,2175.70
新疆,51709,喀什,39.29,75.45,1385.60
新疆,51711,阿合奇,40.56,78.27,1985.10
新疆,51716,巴楚,39.48,78.34,1116.50
新疆,51720,柯坪,40.30,79.03,1161.80
新疆,51730,阿拉尔,40.33,81.16,1012.20
新疆,51747,塔中,39.00,83.40,1099.30
新疆,51765,铁干里克,40.38,87.42,846.00
新疆,51777,若羌,39.02,88.10,887.70
新疆,51804,塔什库尔干,37.46,75.14,3090.10
新疆,51810,麦盖提,38.55,77.38,1178.20
新疆,51811,莎车,38.26,77.16,1231.20
新疆,51818,皮山,37.37,78.17,1375.40
新疆,51828,和田,37.08,79.56,1375.00
新疆,51839,民丰,37.04,82.43,1409.50
新疆,51855,且末,38.09,85.33,1247.20
新疆,51931,于田,36.51,81.39,1422.00
新疆,52101,巴里坤,43.36,93.03,1679.40
新疆,52112,淖毛湖,43.45,94.59,479.00
新疆,52118,伊吾,43.16,94.42,1728.60
新疆,52203,哈密,42.49,93.31,737.20
新疆,52313,红柳河,41.32,94.40,1573.80
云南,56444,德钦,28.29,98.55,3319.00
云南,56533,贡山,27.45,98.40,1583.30
云南,56543,香格里拉,27.51,99.45,3341.50
云南,56548,维西,27.10,99.17,2326.10
云南,56586,昭通昭阳,27.21,103.43,1949.50
云南,56643,六库,25.52,98.51,949.90
云南,56651,丽江,26.51,100.13,2380.90
云南,56664,华坪,26.38,101.16,1230.80
云南,56684,会泽,26.24,103.15,2188.30
云南,56739,腾冲,24.59,98.30,1695.90
云南,56748,保山隆阳,25.07,99.11,1652.20
云南,56751,大理,25.42,100.11,1990.50
云南,56763,元谋,25.44,101.52,1120.60
云南,56768,楚雄,25.02,101.33,1824.10
云南,56778,昆明,25.00,102.39,1888.10
云南,56786,沾益,25.35,103.50,1898.70
云南,56838,瑞丽,24.00,97.51,762.90
云南,56856,景东,24.28,100.52,1162.30
云南,56872,太华山,24.57,102.37,2358.30
云南,56875,玉溪红塔,24.20,102.33,1716.90
云南,56886,泸西,24.32,103.46,1704.30
云南,56946,耿马,23.33,99.24,1104.90
云南,56950,双江,23.28,99.48,1044.10
云南,56951,临沧,23.53,100.05,1502.40
云南,56954,澜沧,22.34,99.56,1054.80
云南,56959,景洪,22.00,100.47,582.00
云南,56964,思茅,22.47,100.58,1302.10
云南,56966,元江,23.36,101.59,400.90
云南,56969,勐腊,21.28,101.34,633.40
云南,56977,江城,22.35,101.51,1120.50
云南,56985,蒙自,23.26,103.19,1313.60
云南,56986,屏边,22.59,103.41,1414.10
云南,56991,砚山,23.37,104.20,1561.10
云南,59007,广南,24.04,105.04,1249.60
浙江,58448,临安,30.13,119.42,117.60
浙江,58450,湖州,30.52,120.03,7.40
浙江,58457,杭州,30.14,120.10,41.70
浙江,58464,平湖,30.39,121.07,4.00
浙江,58467,慈溪,30.12,121.16,4.50
浙江,58472,嵊泗,30.44,122.27,79.60
浙江,58477,定海,30.02,122.06,35.70
浙江,58543,淳安,29.37,119.01,171.40
浙江,58549,金华,29.07,119.39,62.60
浙江,58553,上虞,30.03,120.49,6.40
浙江,58556,嵊州,29.36,120.49,104.30
浙江,58557,义乌,29.20,120.05,90.00
浙江,58562,鄞县,29.48,121.30,6.20
浙江,58569,石浦,29.12,121.57,128.40
浙江,58633,衢州,29.00,118.54,82.40
浙江,58646,丽水,28.28,119.56,59.70
浙江,58652,仙居,28.52,120.43,83.00
浙江,58665,洪家,28.37,121.25,4.60
浙江,58666,大陈,28.27,121.54,86.20
浙江,58667,玉环,28.05,121.16,95.90
浙江,58742,云和,28.06,119.34,163.00
浙江,58752,瑞安,27.47,120.39,39.70
浙江,58760,洞头,27.50,121.09,68.60
重庆,57348,奉节,31.01,109.32,299.80
重庆,57426,梁平,30.41,107.48,454.50
重庆,57432,万州,30.46,108.24,186.70
重庆,57502,大足,29.42,105.42,394.70
重庆,57512,合川,29.58,106.16,364.50
重庆,57516,沙坪坝,29.35,106.28,259.10
重庆,57517,江津,29.17,106.15,261.40
重庆,57520,长寿,29.50,107.04,377.60
重庆,57523,丰都,29.51,107.44,290.50
重庆,57536,黔江,29.31,108.46,786.90
重庆,57612,綦江,29.00,106.39,474.70
重庆,57633,酉阳,28.47,108.48,419.30
