站号,站点名称,时间,温度,气压,湿度,风向,风速,降水量,能见度
58015,砀山,20240811155000,6.80,1023.10,51.50,35.10,8.80,10.80,4.70
58102,亳州,20240811155000,30.70,960.10,93.90,251.90,9.60,3.00,22.20
58118,蒙城,20240811155000,29.00,993.90,29.30,274.60,5.90,13.10,8.80
58122,宿州,20240811155000,10.00,951.70,66.20,20.20,3.80,12.90,22.40
58203,阜阳,20240811155000,24.00,1033.20,88.50,46.00,6.30,9.20,1.10
58215,寿县,20240811155000,20.40,1014.00,51.00,116.10,9.30,8.20,3.20
58221,蚌埠,20240811155000,34.10,1012.40,20.70,33.30,1.50,6.00,28.00
58225,定远,20240811155000,22.50,968.40,42.00,337.70,5.30,0.20,37.90
58236,滁州,20240811155000,34.20,1030.40,35.50,118.40,3.60,14.00,4.40
58311,六安,20240811155000,25.20,1029.20,80.70,25.60,8.50,9.70,16.90
58314,霍山,20240811155000,23.00,1047.10,85.40,172.40,4.70,4.10,5.70
58319,桐城,20240811155000,26.30,991.30,78.90,283.80,9.70,12.90,21.50
58321,合肥,20240811155000,20.30,1014.40,94.60,64.70,4.80,9.40,23.10
58326,巢湖,20240811155000,33.40,1029.40,87.50,123.60,3.90,12.20,24.40
58336,马鞍山,20240811155000,22.60,1015.10,46.60,205.80,7.50,12.00,18.20
58338,芜湖县,20240811155000,17.20,998.10,59.20,68.50,4.60,3.30,27.50
58414,太湖,20240811155000,14.60,989.50,94.20,149.90,3.90,10.90,14.60
58419,东至,20240811155000,23.70,1049.50,47.70,292.30,4.10,12.40,11.20
58424,安庆,20240811155000,33.00,973.80,50.80,90.80,4.10,3.40,11.90
58429,铜陵,20240811155000,31.60,1049.40,65.30,189.10,2.70,4.50,12.80
58436,宁国,20240811155000,7.40,973.10,90.40,67.00,2.60,4.60,12.10
58437,黄山,20240811155000,11.70,1048.70,91.90,45.60,8.20,11.60,13.10
58520,祁门,20240811155000,22.40,1005.20,54.30,315.60,9.00,2.40,1.70
58531,屯溪,20240811155000,3.30,1047.80,93.60,60.00,2.50,14.90,9.10
