站号,站点名称,时间,温度,气压,湿度,风向,风速,降水量,能见度
58015,砀山,20240812161300,18.00,1044.60,40.20,118.50,6.00,9.20,16.80
58102,亳州,20240812161300,10.80,1045.20,74.90,199.10,4.60,10.80,0.30
58118,蒙城,20240812161300,17.60,969.00,36.60,10.00,1.80,6.10,3.60
58122,宿州,20240812161300,11.20,1038.80,23.40,106.60,5.60,14.60,18.90
58203,阜阳,20240812161300,1.30,984.80,27.20,174.30,4.60,10.70,12.80
58215,寿县,20240812161300,10.60,1025.90,34.80,36.60,1.20,15.70,35.70
58221,蚌埠,20240812161300,1.00,1031.70,51.20,113.60,5.90,5.00,38.80
58225,定远,20240812161300,2.80,1005.20,22.40,329.20,9.20,1.10,35.90
58236,滁州,20240812161300,20.00,985.70,24.80,66.30,0.50,7.30,35.80
58311,六安,20240812161300,20.10,960.00,13.90,210.90,1.10,7.90,7.50
58314,霍山,20240812161300,27.30,953.70,48.40,338.50,0.60,5.60,12.10
58319,桐城,20240812161300,21.60,952.70,50.90,179.60,3.10,0.60,28.80
58321,合肥,20240812161300,7.50,1019.70,59.90,112.80,0.60,2.80,19.10
58326,巢湖,20240812161300,21.20,967.30,80.20,181.50,7.30,6.10,32.50
58336,马鞍山,20240812161300,8.60,1008.00,25.20,156.00,6.90,9.70,9.70
58338,芜湖县,20240812161300,12.80,1033.30,61.90,89.40,1.20,4.00,24.20
58414,太湖,20240812161300,24.50,1041.80,78.20,97.10,1.50,12.20,9.90
58419,东至,20240812161300,2.20,988.20,44.20,248.60,5.50,10.40,25.30
58424,安庆,20240812161300,28.00,993.70,27.80,261.60,1.80,0.30,12.80
58429,铜陵,20240812161300,8.90,1032.00,32.60,266.70,0.50,15.70,31.30
58436,宁国,20240812161300,7.00,1017.70,20.70,206.50,9.60,3.00,18.80
58437,黄山,20240812161300,6.30,972.40,78.70,73.70,5.80,0.20,37.50
58520,祁门,20240812161300,16.30,972.60,52.90,204.50,6.40,11.90,21.30
58531,屯溪,20240812161300,8.40,1014.20,94.20,332.50,1.40,12.00,39.30
54406,延庆,20240812161300,32.00,1041.70,75.80,59.00,4.60,4.60,25.50
54416,密云,20240812161300,4.40,960.80,44.40,145.80,3.20,4.30,19.50
54511,北京,20240812161300,19.00,986.50,17.10,15.50,4.40,11.20,20.00
58725,邵武,20240812161300,16.00,956.30,71.30,274.60,0.60,14.70,7.10
58730,武夷山,20240812161300,7.00,1007.90,51.60,329.20,4.80,3.50,23.40
58731,浦城,20240812161300,14.50,969.30,39.00,208.90,0.10,8.60,29.90
58734,建阳,20240812161300,3.30,1002.10,54.70,307.50,3.90,9.00,3.00
58737,建瓯,20240812161300,28.50,1022.20,18.20,329.50,8.50,6.70,39.30
58744,寿宁,20240812161300,19.30,1030.70,61.60,11.60,8.60,11.30,20.80
58754,福鼎,20240812161300,18.70,976.00,24.30,278.20,5.30,0.50,2.30
58818,宁化,20240812161300,15.40,962.30,57.50,113.90,9.60,0.20,21.40
58820,泰宁,20240812161300,18.50,979.20,34.40,32.20,6.60,13.80,36.90
58834,南平,20240812161300,5.10,1022.50,86.20,354.70,3.20,13.90,6.30
58837,尤溪,20240812161300,21.90,1026.40,92.30,10.60,2.40,5.80,4.00
58843,霞浦,20240812161300,7.90,995.50,81.50,53.50,3.00,13.00,2.60
58846,宁德,20240812161300,2.70,966.40,64.00,51.40,5.60,11.60,3.70
58847,福州,20240812161300,17.20,1011.40,10.60,332.60,3.90,8.10,2.50
58911,长汀,20240812161300,7.20,1040.00,78.80,74.30,1.60,2.30,0.10
58918,上杭,20240812161300,14.20,1013.40,39.30,182.10,8.90,8.80,30.80
58921,永安,20240812161300,12.00,975.10,63.40,129.90,1.50,12.60,21.30
58926,漳平,20240812161300,17.40,1026.20,10.20,184.60,2.80,8.10,32.40
58927,龙岩,20240812161300,6.90,1038.20,54.90,329.10,8.20,14.90,38.60
58931,九仙山,20240812161300,25.00,1030.50,63.90,94.20,3.90,1.20,36.30
