站号,站点名称,时间,温度,气压,湿度,风向,风速,降水量,能见度
58015,砀山,20240811155100,30.40,978.30,76.00,182.30,7.70,0.10,24.50
58102,亳州,20240811155100,5.80,976.70,42.20,304.50,6.20,2.20,0.30
58118,蒙城,20240811155100,27.10,1027.40,45.70,355.90,8.80,7.70,4.90
58122,宿州,20240811155100,11.80,956.40,38.60,240.10,7.60,3.40,20.60
58203,阜阳,20240811155100,23.60,980.90,99.30,339.30,4.40,15.30,1.60
58215,寿县,20240811155100,17.30,1037.50,41.40,358.10,9.40,5.60,22.60
58221,蚌埠,20240811155100,25.80,1001.80,48.20,33.00,9.20,7.90,24.10
58225,定远,20240811155100,8.10,972.90,59.00,39.90,9.30,6.90,35.20
58236,滁州,20240811155100,31.90,1036.30,55.80,25.80,2.40,4.30,5.10
58311,六安,20240811155100,7.00,1040.80,91.90,349.30,3.50,7.30,27.50
58314,霍山,20240811155100,27.90,1047.00,35.30,203.80,8.80,15.50,32.00
58319,桐城,20240811155100,18.30,1032.70,16.10,56.60,5.60,0.30,16.50
58321,合肥,20240811155100,20.10,1033.20,36.90,162.20,4.80,9.90,28.00
58326,巢湖,20240811155100,7.20,1003.40,23.10,179.30,4.20,14.30,3.80
58336,马鞍山,20240811155100,7.80,1003.60,81.30,240.70,5.80,12.70,4.50
58338,芜湖县,20240811155100,9.70,965.40,66.50,303.20,8.10,15.80,39.80
58414,太湖,20240811155100,23.70,1018.20,21.50,69.00,6.60,2.40,31.30
58419,东至,20240811155100,16.60,961.50,69.30,3.90,4.90,15.70,18.40
58424,安庆,20240811155100,29.10,988.00,12.20,346.90,6.80,8.80,22.90
58429,铜陵,20240811155100,7.70,950.70,57.40,202.60,6.10,0.00,25.80
58436,宁国,20240811155100,4.30,997.00,65.60,173.20,0.40,0.30,37.50
58437,黄山,20240811155100,22.10,955.90,38.80,243.70,7.40,11.30,2.80
58520,祁门,20240811155100,17.50,1041.00,96.40,106.60,4.20,14.70,8.80
58531,屯溪,20240811155100,16.10,1012.70,71.70,19.00,3.40,3.10,21.60
54406,延庆,20240811155100,29.70,988.30,22.60,284.20,0.60,7.40,17.50
54416,密云,20240811155100,26.00,1045.70,90.20,223.30,1.60,7.00,22.30
54511,北京,20240811155100,34.20,1012.30,15.10,191.70,8.60,9.60,13.50
